type,id,geometry.type,geometry.coordinates,properties.owner,properties.country,properties.anemometerHeight,properties.wmoCountryCode,properties.operationFrom,properties.parameterId,properties.created,properties.barometerHeight,properties.validFrom,properties.type,properties.stationHeight,properties.regionId,properties.name,properties.wmoStationId,properties.operationTo,properties.updated,properties.stationId,properties.validTo,properties.status
Feature,17d59d60-4699-c7da-1d11-9ac0aea584d4,Point,"[-68.75, 76.5333]",Mittafik/Grønlandske lufthavne,GRL,,6070,1948-12-31T00:00:00Z,"['cloud_cover', 'cloud_height', 'humidity', 'pressure_at_sea', 'temp_dew', 'temp_dry', 'visibility', 'weather', 'wind_dir', 'wind_speed']",2026-02-16T15:13:17Z,,1948-12-31T00:00:00Z,Synop,,4,Pituffik,04202,,,04202,2006-10-16T00:00:00Z,Active
Feature,3818c986-3144-8fad-ead9-5793e6a57fd7,Point,"[-68.7031, 76.5311]",Mittafik/Grønlandske lufthavne,GRL,,6070,1948-12-31T00:00:00Z,"['cloud_cover', 'cloud_height', 'humidity', 'pressure_at_sea', 'temp_dew', 'temp_dry', 'visibility', 'weather', 'wind_dir', 'wind_speed']",2026-02-16T15:13:17Z,,2006-10-16T00:00:00Z,Synop,76.5,4,Pituffik,04202,,,04202,2019-01-15T13:34:47Z,Active
Feature,fb2d82b4-a527-6430-d860-7b512397237d,Point,"[-68.7031, 76.5311]",Mittafik/Grønlandske lufthavne,GRL,,6070,1948-12-31T00:00:00Z,"['cloud_cover', 'cloud_height', 'humidity', 'pressure_at_sea', 'temp_dew', 'temp_dry', 'visibility', 'weather', 'wind_dir', 'wind_speed']",2026-02-16T15:13:17Z,59.0,2019-01-15T13:34:47Z,Synop,77.0,4,Pituffik,04202,,,04202,,Active
Feature,b4eac655-aead-3321-230a-8150c4341490,Point,"[-73.1208, 76.7333]",DMI,GRL,,6070,1980-06-15T00:00:00Z,"['humidity', 'pressure', 'pressure_at_sea', 'temp_dew', 'temp_dry', 'weather', 'wind_dir', 'wind_max', 'wind_speed']",2026-02-16T15:13:17Z,,1980-06-15T00:00:00Z,GIWS,11.0,4,Kitsissut,04203,,,04203,2019-01-15T13:34:47Z,Active
Feature,b4d0f681-3e73-ca98-817c-620c78f6b9e7,Point,"[10.2705, 57.4029]",DMI,DNK,,,2011-10-01T00:00:00Z,"['snow_cover_man', 'snow_depth_man']",2026-02-16T15:13:17Z,,2011-10-01T00:00:00Z,Manual snow,61.0,,Lendum,,,,20085,,Active
Feature,3da8be21-3227-2113-a1f7-ba7c53415574,Point,"[9.9592, 57.2825]",DMI,DNK,,,2024-12-16T00:00:00Z,"['snow_cover_man', 'snow_depth_man']",2026-02-16T15:13:17Z,,2024-12-16T00:00:00Z,Manual snow,0.0,,Brønderslev,,,,20119,2025-01-07T08:51:45Z,Active
Feature,a544dec9-e92e-d32f-cf5a-8c0639882ed6,Point,"[9.9592, 57.2825]",DMI,DNK,,,2024-12-16T00:00:00Z,"['snow_cover_man', 'snow_depth_man']",2026-02-16T15:13:17Z,,2025-01-07T08:51:45Z,Manual snow,30.5,,Brønderslev,,,,20119,,Active
Feature,b3a7c23b-644a-4afe-c1b8-c8368a25d816,Point,"[-73.1208, 76.7333]",DMI,GRL,,6070,1980-06-15T00:00:00Z,"['humidity', 'pressure', 'pressure_at_sea', 'temp_dew', 'temp_dry', 'weather', 'wind_dir', 'wind_max', 'wind_speed']",2026-02-16T15:13:17Z,15.0,2019-01-15T13:34:47Z,GIWS,11.0,4,Kitsissut,04203,,,04203,,Active
Feature,133b816c-814d-3cf4-1c00-a29f6eeb98b3,Point,"[-69.2, 77.4833]",Mittafik/Grønlandske lufthavne,GRL,,6070,1964-01-01T00:00:00Z,"['cloud_cover', 'cloud_height', 'humidity', 'humidity_past1h', 'pressure', 'pressure_at_sea', 'temp_dew', 'temp_dry', 'temp_max_past12h', 'temp_max_past1h', 'temp_mean_past1h', 'temp_min_past12h', 'temp_min_past1h', 'visib_mean_last10min', 'visibility', 'weather', 'wind_dir', 'wind_dir_past1h', 'wind_gust_always_past1h', 'wind_max', 'wind_max_per10min_past1h', 'wind_min', 'wind_speed', 'wind_speed_past1h']",2026-02-16T15:13:17Z,,1964-01-01T00:00:00Z,Synop,,4,Qaanaaq,04205,,,04205,1980-07-01T00:00:00Z,Active
Feature,72c93a0c-1135-e3cd-80dd-f2b2878e65d4,Point,"[-69.3744, 77.4853]",Mittafik/Grønlandske lufthavne,GRL,,6070,1964-01-01T00:00:00Z,"['cloud_cover', 'cloud_height', 'humidity', 'humidity_past1h', 'pressure', 'pressure_at_sea', 'temp_dew', 'temp_dry', 'temp_max_past12h', 'temp_max_past1h', 'temp_mean_past1h', 'temp_min_past12h', 'temp_min_past1h', 'visib_mean_last10min', 'visibility', 'weather', 'wind_dir', 'wind_dir_past1h', 'wind_gust_always_past1h', 'wind_max', 'wind_max_per10min_past1h', 'wind_min', 'wind_speed', 'wind_speed_past1h']",2026-02-16T15:13:17Z,,1980-07-01T00:00:00Z,Synop,16.0,4,Mittarfik Qaanaaq,04205,,,04205,2019-01-15T13:34:47Z,Active
